component_id,name,kind,project,backend,lifecycle_state,executable_now,executable_via_public_source,fetchable,mapped_public_sources,category,blocking_reason,license_spdx
genomas.tool.retry_on_ftp_error,retry_on_ftp_error,tool,GenoMAS,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: Bio, dotenv, tqdm",MIT
agentomics.tool.rewrite_symlinks_to_absolute,rewrite_symlinks_to_absolute,tool,Agentomics,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'agentomics',MIT
biomedarena.tool.rhea_request,rhea_request,tool,BioMedArena,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: harness, httpx",MIT
biomedarena.tool.rnacentral_request,rnacentral_request,tool,BioMedArena,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: harness, httpx",MIT
autoba.tool.run,run,tool,AutoBA,python,UNAVAILABLE,False,True,False,ensembl,ROUTABLE - equivalent live public source available,"missing python modules: gradio, src",MIT
agentomics.tool.run_agent,run_agent,tool,Agentomics,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: agentomics, pydantic_ai, weave",MIT
agentomics.tool.run_agent_interactive,run_agent_interactive,tool,Agentomics,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: agentomics, rich",MIT
agentomics.tool.run_agentomics,run_agentomics,tool,Agentomics,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: agentomics, pydantic_ai, weave",MIT
stella.tool.run_clean_ec_prediction,run_clean_ec_prediction,tool,STELLA,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: Bio, smolagents",Apache-2.0
robin.tool.run_comparisons,run_comparisons,tool,Robin,subprocess,RESOLVED,False,False,False,,"NEEDS_UPSTREAM_CHECKOUT - federated, project not installed",dependencies satisfied,Apache-2.0
stella.tool.run_ephod_prediction,run_ephod_prediction,tool,STELLA,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: Bio, smolagents",Apache-2.0
stella.tool.run_esm_mutation_prediction,run_esm_mutation_prediction,tool,STELLA,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: Bio, smolagents",Apache-2.0
